-6 27  185
-6 28  185
-6 29  185
-6 30  185
-6 31  123
-6 32  124
-6 33  107
-6 34  107
-6 35  104
-6 36  106
-7 1  107
-7 2  109
-7 3  106
-7 4  104
-7 5  109
-7 6  106
-7 7  107
-7 8  106
-7 9  108
-7 10  103
-7 11  108
-7 12  106
-7 13  107
-7 14  106
-7 15  140
-7 16  103
-7 17  140
-7 18  123
-7 19  125
-7 20  120
-7 21  120
-7 22  124
-7 23  124
-7 24  119
-7 25  123
-7 26  120
-7 27  123
-7 28  140
-7 29  119
-7 30  122
-7 31  123
-7 32  123
-7 33  119
-7 34  122
-7 35  120
-7 36  122
-8 1  140
-8 2  123
-8 3  140
-8 4  119
-8 5  140
-8 6  120
-8 7  122
-8 8  120
-8 9  123
-8 10  122
-8 11  122
-8 12  119
-8 13  120
-8 14  122
-8 15  120
-8 16  122
-8 17  107
-8 18  107
-8 19  108
-8 20  106
-8 21  140
-8 22  108
-8 23  106
-8 24  106
-8 25  107
-8 26  100
-8 27  108
-8 28  107
-8 29  109
-8 30  108
-8 31  107
-8 32  106
-8 33  106
-8 34  108
-8 35  107
-8 36  112
-9 1  140
-9 2  140
-9 3  108
-9 4  107
-9 5  140
-9 6  108
-9 7  108
-9 8  104
-9 9  106
-9 10  108
-9 11  108
-9 12  107
-9 13  107
-9 14  108
-9 15  106
-9 16  103
-9 17  108
-9 18  109
-9 19  109
-9 20  103
-9 21  111
-9 22  108
-9 23  106
-9 24  106
-9 25  102
-9 26  104
-9 27  107
-9 28  106
-9 29  106
-9 30  106
-9 31  107
-9 32  103
-9 33  108
-9 34  140
-9 35  108
-9 36  107
-10 1  140
-10 2  107
-10 3  109
-10 4  106
-10 5  106
-10 6  106
-10 7  109
-10 8  109
-10 9  106
-10 10  111
-10 11  107
-10 12  109
-10 13  108
-10 14  113
-10 15  111
-10 16  107
-10 17  101
-10 18  100
-10 19  103
-10 20  101
-10 21  104
-10 22  107
-10 23  103
-10 24  106
-10 25  107
-10 26  108
-10 27  109
-10 28  106
-10 29  107
-10 30  108
-10 31  107
-10 32  106
-10 33  123
-10 34  123
-10 35  142
-10 36  131
-11 5  124
-11 6  43
-11 7  43
-11 8  161
-11 9  60
-11 10  45
-11 11  45
-11 12  41
-11 13  42
-11 14  45
-11 15  124
-11 16  46
-11 17  42
-11 18  45
-11 19  42
-11 20  42
-11 21  47
-11 22  148
-11 23  42
-11 24  147
-11 25  48
-11 26  43
-11 27  42
-11 28  151
-11 29  128
-11 30  145
-11 31  46
-11 32  46
-11 33  46
-11 34  47
-11 35  47
-11 36  46
-11 37  124
-11 38  45
-11 39  46
-11 40  47
-11 41  45
-11 42  43
-12 1  45
-12 2  47
-12 3  124
-12 4  124
-12 5  60
-12 6  48
-12 7  43
-12 8  124
-12 9  124
-12 10  -99999
-12 11  124
-12 12  124
-12 13  46
